book_id,title,author,genre,themes,description,avg_rating
0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,Fiction,"life,story,journey,discovery,humanity",The Curious Incident of the Dog in the Night-Time : A Novel by MARK HADDON,4.2
0385511612,Bleachers,John Grisham,Fiction,"life,story,journey,discovery,humanity",Bleachers by John Grisham,3.3
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,Fiction,"life,story,journey,discovery,humanity",Sisterhood of the Traveling Pants by ANN BRASHARES,4.2
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,Fiction,"life,story,journey,discovery,humanity",Roses Are Red (Alex Cross Novels) by James Patterson,4.3
0446610399,The Rescue,Nicholas Sparks,Fiction,"life,story,journey,discovery,humanity",The Rescue by Nicholas Sparks,3.7
0449006522,Manhattan Hunt Club,JOHN SAUL,Fiction,"life,story,journey,discovery,humanity",Manhattan Hunt Club by JOHN SAUL,4.0
0452282152,Girl with a Pearl Earring,Tracy Chevalier,Fiction,"life,story,journey,discovery,humanity",Girl with a Pearl Earring by Tracy Chevalier,4.1
0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,Fiction,"life,story,journey,discovery,humanity",Postmortem (Kay Scarpetta Mysteries (Paperback)) by Patricia Cornwell,4.1
0671027387,Deception Point,Dan Brown,Fiction,"life,story,journey,discovery,humanity",Deception Point by Dan Brown,3.8
0684848783,Tis : A Memoir,Frank McCourt,Memoir,"memoir,life,identity,resilience,growth",Tis : A Memoir by Frank McCourt,3.8
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,Spirituality,"spirituality,faith,meaning,purpose,peace",Chicken Soup for the Soul (Chicken Soup for the Soul) by Jack Canfield,4.0
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,Fantasy,"magic,adventure,fantasy,quest,power",Wicked: The Life and Times of the Wicked Witch of the West by Gregory Maguire,3.9
0151008116,Life of Pi,Yann Martel,Memoir,"memoir,life,identity,resilience,growth",Life of Pi by Yann Martel,4.1
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,Fiction,"life,story,journey,discovery,humanity",Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right by Al Franken,4.1
0804111359,Secret History,DONNA TARTT,History,"history,war,society,power,change",Secret History by DONNA TARTT,3.8
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,Spirituality,"spirituality,faith,meaning,purpose,peace",Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)) by Jack Canfield,4.0
0316782505,The Weight of Water,Anita Shreve,Fiction,"life,story,journey,discovery,humanity",The Weight of Water by Anita Shreve,3.9
0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,Fiction,"life,story,journey,discovery,humanity",Confessions of a Shopaholic by SOPHIE KINSELLA,3.9
0451526341,Animal Farm,George Orwell,Fiction,"life,story,journey,discovery,humanity",Animal Farm by George Orwell,4.1
0684833395,Catch 22,Joseph Heller,Fiction,"life,story,journey,discovery,humanity",Catch 22 by Joseph Heller,4.1
044023722X,A Painted House,John Grisham,Fiction,"life,story,journey,discovery,humanity",A Painted House by John Grisham,3.8
0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,Fiction,"life,story,journey,discovery,humanity",Vinegar Hill (Oprah's Book Club (Paperback)) by A. Manette Ansay,3.4
0060188731,Bel Canto,Ann Patchett,Fiction,"life,story,journey,discovery,humanity",Bel Canto by Ann Patchett,4.1
0142001740,The Secret Life of Bees,Sue Monk Kidd,Memoir,"memoir,life,identity,resilience,growth",The Secret Life of Bees by Sue Monk Kidd,4.3
0312995423,Digital Fortress : A Thriller,Dan Brown,Thriller,"suspense,danger,adventure,survival",Digital Fortress : A Thriller by Dan Brown,3.9
038542471X,The Client,John Grisham,Fiction,"life,story,journey,discovery,humanity",The Client by John Grisham,3.8
0515128554,Heart of the Sea (Irish Trilogy),Nora Roberts,Romance,"love,romance,relationships,emotion",Heart of the Sea (Irish Trilogy) by Nora Roberts,4.0
0156528207,The Little Prince,Antoine de Saint-ExupÃÂ©ry,Fiction,"life,story,journey,discovery,humanity",The Little Prince by Antoine de Saint-ExupÃÂ©ry,4.5
0380012863,Jonathan Livingston Seagull,Richard Bach,Fiction,"life,story,journey,discovery,humanity",Jonathan Livingston Seagull by Richard Bach,4.0
0671867113,Moonlight Becomes You,Mary Higgins Clark,Fiction,"life,story,journey,discovery,humanity",Moonlight Becomes You by Mary Higgins Clark,3.8
0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,Fiction,"life,story,journey,discovery,humanity",Divine Secrets of the Ya-Ya Sisterhood : A Novel by Rebecca Wells,3.9
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,Memoir,"memoir,life,identity,resilience,growth",The Perfect Storm : A True Story of Men Against the Sea by Sebastian Junger,3.7
0316666343,The Lovely Bones: A Novel,Alice Sebold,Fiction,"life,story,journey,discovery,humanity",The Lovely Bones: A Novel by Alice Sebold,4.1
0440224675,Hannibal,Thomas Harris,Fiction,"life,story,journey,discovery,humanity",Hannibal by Thomas Harris,3.7
1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,Fiction,"life,story,journey,discovery,humanity",The Four Agreements: A Practical Guide to Personal Freedom by Don Miguel Ruiz,3.8
044021145X,The Firm,John Grisham,Fiction,"life,story,journey,discovery,humanity",The Firm by John Grisham,3.9
0316168815,The Lovely Bones,Alice Sebold,Fiction,"life,story,journey,discovery,humanity",The Lovely Bones by Alice Sebold,4.1
0345424719,A Widow for One Year,JOHN IRVING,Fiction,"life,story,journey,discovery,humanity",A Widow for One Year by JOHN IRVING,4.1
0375726403,Empire Falls,Richard Russo,History,"history,war,society,power,change",Empire Falls by Richard Russo,3.8
0385503857,Oryx and Crake,Margaret Atwood,Fiction,"life,story,journey,discovery,humanity",Oryx and Crake by Margaret Atwood,4.5
0440226104,Black and Blue,ANNA QUINDLEN,Fiction,"life,story,journey,discovery,humanity",Black and Blue by ANNA QUINDLEN,3.7
0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,Fiction,"life,story,journey,discovery,humanity",She's Come Undone (Oprah's Book Club) by Wally Lamb,3.9
0805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,Fiction,"life,story,journey,discovery,humanity",Nickel and Dimed: On (Not) Getting By in America by Barbara Ehrenreich,4.1
0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,Fiction,"life,story,journey,discovery,humanity",Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1) by Tim Lahaye,4.1
0060915544,The Bean Trees,Barbara Kingsolver,Fiction,"life,story,journey,discovery,humanity",The Bean Trees by Barbara Kingsolver,4.3
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,Fiction,"life,story,journey,discovery,humanity",The Red Tent (Bestselling Backlist) by Anita Diamant,4.2
0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,Fiction,"life,story,journey,discovery,humanity",The Nanny Diaries: A Novel by Emma McLaughlin,3.7
0380710218,Postmortem,Patricia Daniels Cornwell,Fiction,"life,story,journey,discovery,humanity",Postmortem by Patricia Daniels Cornwell,4.0
0156027321,Life of Pi,Yann Martel,Memoir,"memoir,life,identity,resilience,growth",Life of Pi by Yann Martel,4.1
0385721420,Three Junes,JULIA GLASS,Fiction,"life,story,journey,discovery,humanity",Three Junes by JULIA GLASS,3.9
0451202341,Back Roads,Tawni O'Dell,Fiction,"life,story,journey,discovery,humanity",Back Roads by Tawni O'Dell,3.7
0449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,Fiction,"life,story,journey,discovery,humanity",A Thousand Acres (Ballantine Reader's Circle) by JANE SMILEY,3.9
080213825X,Four Blondes,Candace Bushnell,Fiction,"life,story,journey,discovery,humanity",Four Blondes by Candace Bushnell,2.9
0515127833,River's End,Nora Roberts,Fiction,"life,story,journey,discovery,humanity",River's End by Nora Roberts,3.8
0385490992,The Street Lawyer,John Grisham,Fiction,"life,story,journey,discovery,humanity",The Street Lawyer by John Grisham,3.6
0385424728,The Chamber,John Grisham,Fiction,"life,story,journey,discovery,humanity",The Chamber by John Grisham,3.8
0385472951,The Partner,John Grisham,Fiction,"life,story,journey,discovery,humanity",The Partner by John Grisham,3.8
0425182878,Chosen Prey,John Sandford,Fiction,"life,story,journey,discovery,humanity",Chosen Prey by John Sandford,3.8
0553564528,Guilty as Sin,TAMI HOAG,Fiction,"life,story,journey,discovery,humanity",Guilty as Sin by TAMI HOAG,3.9
055356451X,Night Sins,TAMI HOAG,Fiction,"life,story,journey,discovery,humanity",Night Sins by TAMI HOAG,4.0
0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,Fiction,"life,story,journey,discovery,humanity","The Vampire Lestat (Vampire Chronicles, Book II) by ANNE RICE",4.1
0345369947,The Mummy or Ramses the Damned,Anne Rice,Fiction,"life,story,journey,discovery,humanity",The Mummy or Ramses the Damned by Anne Rice,4.1
0446394521,Daisy Fay and the Miracle Man,Fannie Flagg,Fiction,"life,story,journey,discovery,humanity",Daisy Fay and the Miracle Man by Fannie Flagg,3.7
068484267X,Angela's Ashes: A Memoir,Frank McCourt,Memoir,"memoir,life,identity,resilience,growth",Angela's Ashes: A Memoir by Frank McCourt,4.2
0553578693,The Next Accident,LISA GARDNER,Fiction,"life,story,journey,discovery,humanity",The Next Accident by LISA GARDNER,4.0
0345413377,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,Horror,"fear,darkness,suspense,supernatural","The Amber Spyglass (His Dark Materials, Book 3) by PHILIP PULLMAN",4.3
0345413369,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,Horror,"fear,darkness,suspense,supernatural","The Subtle Knife (His Dark Materials, Book 2) by PHILIP PULLMAN",4.3
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Horror,"fear,darkness,suspense,supernatural",Fast Food Nation: The Dark Side of the All-American Meal by Eric Schlosser,4.2
0440122090,Echoes,Maeve Binchy,Fiction,"life,story,journey,discovery,humanity",Echoes by Maeve Binchy,4.0
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,Fiction,"life,story,journey,discovery,humanity",One for the Money (Stephanie Plum Novels (Paperback)) by Janet Evanovich,4.0
0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,Fiction,"life,story,journey,discovery,humanity",The Bell Jar : A Novel (Perennial Classics) by Sylvia Plath,4.0
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,Fiction,"life,story,journey,discovery,humanity",Along Came a Spider (Alex Cross Novels) by James Patterson,4.0
0446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,Fiction,"life,story,journey,discovery,humanity",Simple Abundance:  A Daybook of Comfort and Joy by Sarah Ban Breathnach,4.0
0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,Memoir,"memoir,life,identity,resilience,growth",Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life by Spencer Johnson,3.6
0140185216,On the Road (Penguin 20th Century Classics),Jack Kerouac,Fiction,"life,story,journey,discovery,humanity",On the Road (Penguin 20th Century Classics) by Jack Kerouac,4.0
0684801221,OLD MAN AND THE SEA,Ernest Hemingway,Fiction,"life,story,journey,discovery,humanity",OLD MAN AND THE SEA by Ernest Hemingway,4.3
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,Romance,"love,romance,relationships,emotion",Where the Heart Is (Oprah's Book Club (Paperback)) by Billie Letts,4.2
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,Fiction,"life,story,journey,discovery,humanity",The Girls' Guide to Hunting and Fishing by Melissa Bank,3.4
0142000205,Icy Sparks,Gwyn Hyman Rubio,Fiction,"life,story,journey,discovery,humanity",Icy Sparks by Gwyn Hyman Rubio,3.8
0385504209,The Da Vinci Code,Dan Brown,Fiction,"life,story,journey,discovery,humanity",The Da Vinci Code by Dan Brown,4.3
0446525502,The Rescue,Nicholas Sparks,Fiction,"life,story,journey,discovery,humanity",The Rescue by Nicholas Sparks,4.3
0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,Fiction,"life,story,journey,discovery,humanity",Bridget Jones : The Edge of Reason by Helen Fielding,3.6
0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,Fiction,"life,story,journey,discovery,humanity",The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)) by Anita Shreve,3.9
0385505833,Skipping Christmas,JOHN GRISHAM,Fiction,"life,story,journey,discovery,humanity",Skipping Christmas by JOHN GRISHAM,3.8
0446523569,Message in a Bottle,Nicholas Sparks,Fiction,"life,story,journey,discovery,humanity",Message in a Bottle by Nicholas Sparks,4.2
0446531332,Nights in Rodanthe,Nicholas Sparks,Fiction,"life,story,journey,discovery,humanity",Nights in Rodanthe by Nicholas Sparks,4.0
0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,Fiction,"life,story,journey,discovery,humanity","Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies by Laura Esquivel",4.2
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,Fiction,"life,story,journey,discovery,humanity","The Two Towers (The Lord of the Rings, Part 2) by J.R.R. TOLKIEN",4.6
0316969443,Suzanne's Diary for Nicholas,James Patterson,Memoir,"memoir,life,identity,resilience,growth",Suzanne's Diary for Nicholas by James Patterson,3.9
0316693200,2nd Chance,James Patterson,Fiction,"life,story,journey,discovery,humanity",2nd Chance by James Patterson,3.8
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,Fiction,"life,story,journey,discovery,humanity","The Bad Beginning (A Series of Unfortunate Events, Book 1) by Lemony Snicket",3.8
0316776963,Me Talk Pretty One Day,David Sedaris,Fiction,"life,story,journey,discovery,humanity",Me Talk Pretty One Day by David Sedaris,4.1
0451181379,The Door to December,Dean R. Koontz,Fiction,"life,story,journey,discovery,humanity",The Door to December by Dean R. Koontz,3.9
0425142485,The Funhouse,Dean R. Koontz,Fiction,"life,story,journey,discovery,humanity",The Funhouse by Dean R. Koontz,3.4
038529929X,Hannibal,Thomas Harris,Fiction,"life,story,journey,discovery,humanity",Hannibal by Thomas Harris,3.7
1573229571,About a Boy (Movie Tie-In),Nick Hornby,Fiction,"life,story,journey,discovery,humanity",About a Boy (Movie Tie-In) by Nick Hornby,3.9
0743211383,Dreamcatcher,Stephen King,Fiction,"life,story,journey,discovery,humanity",Dreamcatcher by Stephen King,3.6
0451205421,The Door to December,Dean R. Koontz,Fiction,"life,story,journey,discovery,humanity",The Door to December by Dean R. Koontz,3.8
0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Sci-Fi,"space,science,future,technology,discovery",The Hitchhiker's Guide to the Galaxy by Douglas Adams,4.2
0440219078,The Giver (21st Century Reference),LOIS LOWRY,Fiction,"life,story,journey,discovery,humanity",The Giver (21st Century Reference) by LOIS LOWRY,4.3
0451155750,The Dead Zone,Stephen King,Fiction,"life,story,journey,discovery,humanity",The Dead Zone by Stephen King,4.0
0786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,Memoir,"memoir,life,identity,resilience,growth",The Diary of Ellen Rimbauer: My Life at Rose Red by Ellen Rimbauer,3.8
0385493800,The Testament,John Grisham,Fiction,"life,story,journey,discovery,humanity",The Testament by John Grisham,3.7
0440211727,A Time to Kill,JOHN GRISHAM,Fiction,"life,story,journey,discovery,humanity",A Time to Kill by JOHN GRISHAM,4.0
038533334X,Charming Billy,Alice McDermott,Fiction,"life,story,journey,discovery,humanity",Charming Billy by Alice McDermott,3.5
0553561618,Dark Paradise,TAMI HOAG,Horror,"fear,darkness,suspense,supernatural",Dark Paradise by TAMI HOAG,3.6
0312422156,Middlesex: A Novel,Jeffrey Eugenides,Fiction,"life,story,journey,discovery,humanity",Middlesex: A Novel by Jeffrey Eugenides,4.2
044022165X,The Rainmaker,JOHN GRISHAM,Fiction,"life,story,journey,discovery,humanity",The Rainmaker by JOHN GRISHAM,3.6
0425124347,The Bad Place,Dean R. Koontz,Fiction,"life,story,journey,discovery,humanity",The Bad Place by Dean R. Koontz,4.0
0312282990,The Amazing Adventures of Kavalier & Clay,Michael Chabon,Fiction,"life,story,journey,discovery,humanity",The Amazing Adventures of Kavalier & Clay by Michael Chabon,4.1
0394820371,The Phantom Tollbooth,Norton Juster,Fiction,"life,story,journey,discovery,humanity",The Phantom Tollbooth by Norton Juster,4.2
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,Romance,"love,romance,relationships,emotion",The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure by WILLIAM GOLDMAN,4.4
0805062971,Fight Club,Chuck Palahniuk,Fiction,"life,story,journey,discovery,humanity",Fight Club by Chuck Palahniuk,4.3
0671510053,SHIPPING NEWS,Annie Proulx,Fiction,"life,story,journey,discovery,humanity",SHIPPING NEWS by Annie Proulx,3.9
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,Fiction,"life,story,journey,discovery,humanity",Anne of Green Gables (Anne of Green Gables Novels (Paperback)) by L.M. MONTGOMERY,4.4
0743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,Fiction,"life,story,journey,discovery,humanity",Fall On Your Knees (Oprah #45) by Ann-Marie MacDonald,3.9
0553586122,Reap the Wind,Iris Johansen,Fiction,"life,story,journey,discovery,humanity",Reap the Wind by Iris Johansen,4.0
0553584510,The Survivors Club,LISA GARDNER,Fiction,"life,story,journey,discovery,humanity",The Survivors Club by LISA GARDNER,4.2
0345443284,While I Was Gone,Sue Miller,Fiction,"life,story,journey,discovery,humanity",While I Was Gone by Sue Miller,3.5
0553273914,The House of the Spirits,Isabel Allende,Fiction,"life,story,journey,discovery,humanity",The House of the Spirits by Isabel Allende,4.2
039592720X,Interpreter of Maladies,Jhumpa Lahiri,Fiction,"life,story,journey,discovery,humanity",Interpreter of Maladies by Jhumpa Lahiri,4.3
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,Fiction,"life,story,journey,discovery,humanity",Divine Secrets of the Ya-Ya Sisterhood: A Novel by Rebecca Wells,4.1
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,Fiction,"life,story,journey,discovery,humanity",She's Come Undone (Oprah's Book Club (Paperback)) by Wally Lamb,3.8
0440215625,Dragonfly in Amber,DIANA GABALDON,Fiction,"life,story,journey,discovery,humanity",Dragonfly in Amber by DIANA GABALDON,4.3
0316777730,Naked,David Sedaris,Fiction,"life,story,journey,discovery,humanity",Naked by David Sedaris,4.1
0877733759,Writing Down the Bones,NATALIE GOLDBERG,Fiction,"life,story,journey,discovery,humanity",Writing Down the Bones by NATALIE GOLDBERG,4.5
0446601241,Kiss the Girls,James Patterson,Romance,"love,romance,relationships,emotion",Kiss the Girls by James Patterson,4.1
0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,Fiction,"life,story,journey,discovery,humanity",The Witching Hour (Lives of the Mayfair Witches) by ANNE RICE,4.1
0446604801,Jack & Jill (Alex Cross Novels),James Patterson,Fiction,"life,story,journey,discovery,humanity",Jack & Jill (Alex Cross Novels) by James Patterson,3.9
0679734775,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,Fiction,"life,story,journey,discovery,humanity",The House on Mango Street (Vintage Contemporaries) by SANDRA CISNEROS,3.6
0380789035,American Gods,Neil Gaiman,Fiction,"life,story,journey,discovery,humanity",American Gods by Neil Gaiman,4.0
0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,Fiction,"life,story,journey,discovery,humanity","Tales of the City (Tales of the City Series, V. 1) by Armistead Maupin",4.0
0440206154,Red Dragon,Thomas Harris,Fantasy,"magic,adventure,fantasy,quest,power",Red Dragon by Thomas Harris,4.1
0345370775,Jurassic Park,Michael Crichton,Fiction,"life,story,journey,discovery,humanity",Jurassic Park by Michael Crichton,3.9
0373484224,Stanislaski Brothers (Silhouette Promo),Nora Roberts,Fiction,"life,story,journey,discovery,humanity",Stanislaski Brothers (Silhouette Promo) by Nora Roberts,3.5
0380789019,Neverwhere,Neil Gaiman,Fiction,"life,story,journey,discovery,humanity",Neverwhere by Neil Gaiman,4.1
